SiteID,Location,location_epoch,valid_from,valid_through,latitude,longitude,uhf42_id,nta2020,nta_name,borough,inside_congestion_geofence,geometry_status,neighborhood,uhf_borough,adult_asthma_ed_rate,child_asthma_ed_rate,poverty_pct,adult_asthma_ed_rate_reference_period,adult_asthma_ed_rate_high_relative_burden,adult_asthma_ed_rate_source_note,child_asthma_ed_rate_reference_period,child_asthma_ed_rate_high_relative_burden,child_asthma_ed_rate_source_note,poverty_pct_reference_period,poverty_pct_high_relative_burden,poverty_pct_source_note,context_geography,exposure_interpretation,comparison_year,months,pre_days,post_days,pre_pm25,post_pm25,change_ug_m3,change_pct,ci_low,ci_high,analysis_frame,baseline_year,requested_window,calendar_rule,coverage_status,jan_aug_2025_change_pct,jan_aug_2025_ci_low,jan_aug_2025_ci_high,jan_aug_2025_months,jan_aug_2026_change_pct,jan_aug_2026_ci_low,jan_aug_2026_ci_high,jan_aug_2026_months,jan_aug_2025_change,jan_aug_2026_change,full_vs_jan_aug_classification,persistence_classification,classification_method,eligibility,uncertainty_status,source_method,metric,map_eligible,limitation_flag,adjusted_change_ug_m3,adjusted_ci_low,adjusted_ci_high,q_value_bh,adjusted_months,adjusted_pre_days,adjusted_post_days,adjusted_uncertainty_status,adjusted_full_vs_jan_aug_classification,adjusted_persistence_classification,adjusted_jan_aug_2025_change,adjusted_jan_aug_2026_change,completeness_pct_2024,available_observations_2024,expected_observations_2024,valid_days_2024,eligible_month_count_2024,completeness_pct_2025,available_observations_2025,expected_observations_2025,valid_days_2025,eligible_month_count_2025
36005NY11534,Mott Haven,source_current,2024-01-01,2026-08-31,40.80649,-73.92249,107,BX0101,Mott Haven-Port Morris,Bronx,False,source current coordinates; no documented move,Hunts Point - Mott Haven,Bronx,193.5,266.2,35.79,2023,True,,2023,True,,2019-23,True,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"4,5,6,7,8,9,10,11,12",240.0,275.0,7.337401160902055,7.422755774591796,0.08535461368974051,1.1632812738188392,-0.6750647617569676,0.8316885098766239,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,1.691270258238986,-1.0289273911315342,1.4066029717533979,"4,5,6,7,8",3.582994567372566,-1.776986742394589,3.7481193875095475,"4,5,6,7,8",1.691270258238986,3.582994567372566,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,uncertain; interval includes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-0.3573366646536063,-1.2255919698777265,0.510918640570514,0.4548651882234149,"4,5,6,7,8,9,10,11,12",240.0,275.0,uncertain after BH adjustment,inconclusive,inconclusive,-0.4988183544317515,-0.740157545469895,66.6551246537396,5775,8664,240,9,99.98845798707295,8663,8664,361,12
36005NY11790,Hunt's Point,source_current,2024-01-01,2026-08-31,40.81909,-73.88566,107,BX0201,Hunts Point,Bronx,False,source current coordinates; no documented move,Hunts Point - Mott Haven,Bronx,193.5,266.2,35.79,2023,True,,2023,True,,2019-23,True,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,,,,,,,,,,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,no eligible baseline,,,,,,,,,,,inconclusive,inconclusive,,excluded: no matched 2024 baseline,not estimated,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",,,,,,,,not estimated,inconclusive,inconclusive,,,0.0,0,8664,0,0,80.5517082179132,6979,8664,290,10
36005NY12387,Cross Bronx Expy,source_current,2024-01-01,2026-08-31,40.84517,-73.90614,105,BX0502,Mount Hope,Bronx,False,source current coordinates; no documented move,Crotona - Tremont,Bronx,171.0,258.9,33.91,2023,True,,2023,True,,2019-23,True,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"1,2,3,4,5,6,7,8,12",263.0,265.0,9.24002207454213,9.045447314386905,-0.19457476015522523,-2.1057824168116746,-1.307183516569343,0.7827148739468626,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-2.745088012158736,-1.4287344720411914,0.7960813041333963,"1,2,3,4,5,6,7,8",-0.37829118823519137,-1.4751356151892396,1.7464926701518204,"1,2,3,4,5,6,7,8",-2.745088012158736,-0.37829118823519137,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,uncertain; interval includes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-0.6476467217856874,-1.7064781612208035,0.41118471764942877,0.3017618515020244,"1,2,3,4,5,6,7,8,12",263.0,265.0,uncertain after BH adjustment,inconclusive,inconclusive,-0.9338319004788538,-1.1387083230507606,78.35872576177286,6789,8664,280,9,98.61495844875347,8544,8664,356,12
36047NY07974,BQE,source_current,2024-01-01,2026-08-31,40.7028,-73.96082,201,BK0103,South Williamsburg,Brooklyn,False,source current coordinates; no documented move,Greenpoint,Brooklyn,38.5,48.9,16.7,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"8,9,10,11,12",139.0,153.0,6.089287624448189,6.068388261648745,-0.02089936279944382,-0.3432152344969519,-0.863335546405531,1.1458234532570952,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-9.183773409829211,-4.203602409623269,4.271118813882793,8,-15.517363753174108,-3.574313931482922,2.0694489823469064,8,-9.183773409829211,-15.517363753174108,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,uncertain; interval includes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-0.3296855481069376,-1.072797453611929,0.41342635739805367,0.4544649004652694,"8,9,10,11,12",139.0,153.0,uncertain after BH adjustment,inconclusive,inconclusive,,,38.46952908587257,3333,8664,139,5,99.79224376731302,8646,8664,359,12
36061NY08454,Manhattan Bridge,source_current,2024-01-01,2026-08-31,40.71651,-73.997,308,MN0301,Chinatown-Two Bridges,Manhattan,True,source current coordinates; no documented move,Greenwich Village - Soho,Manhattan,7.7,47.9,8.89,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"1,3,4,5,6,7,8,9,10,11,12",308.0,333.0,9.425178261798285,7.999309626182347,-1.425868635615938,-15.128293555944783,-2.5811264589718927,-0.5253954055725174,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-20.382834169980224,-3.850498581629033,-0.9499374744428959,"1,3,4,5,6,7,8",-16.988448341275642,-3.717297544785196,0.291254225523187,"1,3,4,5,6,7,8",-20.382834169980224,-16.988448341275642,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,decrease; interval excludes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-1.9703373009348377,-2.9084280896933823,-1.0322465121762932,0.0002498739620116708,"1,3,4,5,6,7,8,9,10,11,12",308.0,333.0,adjusted decrease,weakened,weakened,-3.1013150348358636,-2.6140037918924817,88.23868882733149,7645,8664,316,11,99.98845798707295,8663,8664,361,12
36061NY08552,Williamsburg Bridge,source_current,2024-01-01,2026-08-31,40.71807,-73.98606,309,MN0302,Lower East Side,Manhattan,True,source current coordinates; no documented move,Union Square - Lower East Side,Manhattan,44.6,159.7,20.06,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"3,4,5,6,8,9,10,11",230.0,233.0,8.638470312411195,7.01343432048301,-1.6250359919281854,-18.811617487339618,-2.406306790220935,-0.7093802457310526,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-21.856615852613658,-3.430491004192268,-0.7859497115227991,"3,4,5,6,8",-31.750704229875936,-4.268072574689953,-1.8976220402967023,"3,4,5,6,8",-21.856615852613658,-31.750704229875936,weakened,strengthened,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,decrease; interval excludes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-2.5457441518557093,-3.4203889880192793,-1.6710993156921394,1.5153250528881088e-07,"3,4,5,6,8,9,10,11",230.0,233.0,adjusted decrease,weakened,strengthened,-3.269977102879135,-4.227864230107244,73.29178208679593,6350,8664,264,9,90.4432132963989,7836,8664,326,11
36061NY08653,FDR,source_current,2024-01-01,2026-08-31,40.72229,-73.97465,309,MN0303,East Village,Manhattan,False,source current coordinates; no documented move,Union Square - Lower East Side,Manhattan,44.6,159.7,20.06,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"3,4,5,6,8,9,10,11,12",263.0,256.0,7.582972971697477,6.850611067172372,-0.7323619045251046,-9.65797856933628,-1.4801134375516867,0.04378168087119141,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-20.91993061181747,-2.974222069129378,-0.6581019776496999,"3,4,5,6,8",-19.987061582405374,-2.9026251569321104,-0.987999796918345,"3,4,5,6,7,8",-20.91993061181747,-19.987061582405374,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,uncertain; interval includes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-1.1139099187534514,-1.9150153837345287,-0.312804453772374,0.013920882485546966,"3,4,5,6,8,9,10,11,12",263.0,256.0,adjusted decrease,weakened,inconclusive,-2.713775524817262,-2.9679326098073044,85.45706371191136,7404,8664,307,10,89.81994459833795,7782,8664,323,11
36061NY09734,Broadway/35th St,source_current,2024-01-01,2026-08-31,40.75069,-73.98783,306,MN0502,Midtown-Times Square,Manhattan,True,source current coordinates; no documented move,Chelsea - Clinton,Manhattan,33.0,129.9,11.95,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"1,2,3,4,5,6,7,8,9,10,11,12",358.0,359.0,8.917734210232505,8.002051316988243,-0.9156828932442611,-10.268111514173361,-1.6227385875517744,-0.24953213996655696,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,all 12 months eligible,-17.356547035224168,-2.802920447385904,-0.6414751280580437,"1,2,3,4,5,6,7,8",-4.242609954292886,-2.0269923499181695,1.610273934730005,"1,2,3,4,5,6,7,8",-17.356547035224168,-4.242609954292886,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,decrease; interval excludes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"monitor-level association; not neighborhood exposure; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-1.3156323613361067,-2.1249714680791962,-0.506293254593017,0.0037500164782496297,"1,2,3,4,5,6,7,8,9,10,11,12",358.0,359.0,adjusted decrease,weakened,inconclusive,-2.3115231346661282,-1.1941863836034,99.28439519852262,8602,8664,358,12,99.51523545706371,8622,8664,359,12
36061NY09929,Midtown West,original,2024-01-01,2026-06-23,40.75508,-73.99041,306,MN0502,Midtown-Times Square,Manhattan,True,documented original coordinates,Chelsea - Clinton,Manhattan,33.0,129.9,11.95,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"8,9,10,11,12",139.0,153.0,10.032965377609107,10.092475448028674,0.059510070419566574,0.59314537805919,-1.1068741350913498,1.4377228605251704,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-10.572076432166188,-5.870534523809522,4.344603393665156,8,,,,,-10.572076432166188,,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,uncertain; interval includes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-0.27387471943366926,-1.3166891981859428,0.7689397593186043,0.6067305213367822,"8,9,10,11,12",139.0,153.0,uncertain after BH adjustment,inconclusive,inconclusive,,,45.31394275161588,3926,8664,162,5,98.62650046168052,8545,8664,355,12
36061NY10130,Queensboro Bridge,source_current,2024-01-01,2026-08-31,40.76123,-73.96389,305,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,True,source current coordinates; no documented move,Upper East Side,Manhattan,14.5,23.9,7.33,2023,False,,2023,False,,2019-23,False,,"UHF42; distinct from NTA2020, no areal interpolation",monitor location context; not population exposure or causal disparity,2025,"1,2,3,4,7,8,9,10,11,12",290.0,297.0,7.554667708071216,6.569345430158171,-0.9853222779130455,-13.042562770303611,-1.5920608373613707,-0.3219874615377962,full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,partial matched months; not complete-year estimate,-18.38902525712077,-2.5590958731678244,-0.4417685487198468,"1,2,3,4,7,8",-4.7998141857223615,-1.9039450422954516,1.5304248953203083,"1,2,3,4,7,8",-18.38902525712077,-4.7998141857223615,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,eligible matched months,decrease; interval excludes zero,NYCCAS; equal eligible-month means; 400 within-month seven-day block draws,PM2.5 ug/m3,True,"partial or absent baseline/coverage; not complete-year estimate; regional weather proxy, unmeasured smoke and sources; no causal policy attribution",-1.26108692836364,-1.9026755630825853,-0.6194982936446946,0.0005067583067793945,"1,2,3,4,7,8,9,10,11,12",290.0,297.0,adjusted decrease,weakened,inconclusive,-1.9469779362601933,-1.2237233637262879,80.54016620498615,6978,8664,290,10,99.54986149584488,8625,8664,358,12
