Facility,comparison_year,pre_mean,post_mean,change_pct,matched_strata,pre_observations,post_observations,pre_days,post_days,months,matched_weekdays,matched_strata_fraction,ci_low_pct,ci_high_pct,interval_method,coverage_status,comparison_window,absolute_change,eligibility,limitation_flag,analysis_frame,baseline_year,requested_window,calendar_rule,jan_aug_2025_change_pct,jan_aug_2025_ci_low_pct,jan_aug_2025_ci_high_pct,jan_aug_2025_months,jan_aug_2026_change_pct,jan_aug_2026_ci_low_pct,jan_aug_2026_ci_high_pct,jan_aug_2026_months,jan_aug_2025_change,jan_aug_2026_change,full_vs_jan_aug_classification,persistence_classification,classification_method,Facility ID,source_reporting_unit,latitude,longitude,crs,verification_status,geometry_ambiguity,exact_toll_plaza_verified,map_ready,geometry_role,source_lions_ids,source_street,geometry_source,facility_definition_source,notes,facility_type,location_context,metric,source_method,uncertainty_status,map_eligible,am_rush_change_pct,am_rush_ci_low_pct,am_rush_ci_high_pct,am_rush_pre_observations,am_rush_post_observations,pm_rush_change_pct,pm_rush_ci_low_pct,pm_rush_ci_high_pct,pm_rush_pre_observations,pm_rush_post_observations,other_hours_change_pct,other_hours_ci_low_pct,other_hours_ci_high_pct,other_hours_pre_observations,other_hours_post_observations,completeness_pct_2024,complete_days_2024,expected_days_2024,completeness_pct_2025,complete_days_2025,expected_days_2025
Bronx - Whitestone Bridge,2025,136254.31210317463,138845.76488095237,1.901923497155411,84,359,359,359,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,1.1971218177762721,2.650828987072214,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",2591.4527777777403,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,2.2979251564095193,1.5601113180297166,3.1741188039206283,"1,2,3,4,5,6,7,8",0.2814951734277926,-1.2911668680242077,1.7069353654517878,"1,2,3,4,5,6,7,8",2.2979251564095193,0.2814951734277926,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,23,Bronx - Whitestone Bridge,40.80196600282681,-73.829615778368,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,141293;154788;306296;306302,WHITESTONE BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Bronx - Whitestone Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,increase; interval excludes zero,True,4.729088789333891,3.1062904219200638,6.358182219796767,257,258,0.08469255494640837,-0.6944094036023082,0.8574744664232214,257,258,1.7780692602179737,0.9262792786952556,2.5159434413605157,359,359,99.44598337950139,359,361,99.44598337950139,359,361
Cross Bay Bridge,2025,21248.924603174604,21433.417063492063,0.868243752391562,84,359,359,359,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-0.5752875587210087,2.285559632412599,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",184.4924603174586,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,2.72022786923094,0.9699402038412365,4.487784329739734,"1,2,3,4,5,6,7,8",-3.2880637456542905,-5.077457830050556,-1.2389034769734166,"1,2,3,4,5,6,7,8",2.72022786923094,-3.2880637456542905,inconclusive,reversed,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,26,Cross Bay Bridge,40.5930570671757,-73.82021128323598,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,150386;150824,CROSS BAY VETERANS MEMORIAL BRDG,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Cross Bay Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,1.9499484661440247,-0.489833904620562,4.842396022448707,257,258,1.5984901595570644,-0.45713723481639795,3.5078175053256015,257,258,0.5152634275698009,-0.9708046378965733,2.1169232914856457,359,359,99.44598337950139,359,361,99.44598337950139,359,361
Henry Hudson Bridge,2025,69047.08392857143,69379.49880952381,0.48143217937524074,84,358,358,358,358,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-1.2104280935049947,1.8039373535101024,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",332.4148809523758,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,0.7082649372719185,-0.989617978215446,2.1367550229198904,"1,2,3,4,5,6,7,8",-0.6974383500545356,-2.747340255781055,1.8343092941702963,"1,2,3,4,5,6,7,8",0.7082649372719185,-0.6974383500545356,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,24,Henry Hudson Bridge,40.87662983260632,-73.92399049745238,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,143394;143660;140427;140426,HENRY HUDSON BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Henry Hudson Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,4.020453366631305,0.407898182412102,7.333610519494236,257,258,-0.18605704838596804,-2.0356329489229625,1.407714758922113,257,258,-0.027488918500040427,-1.5498008416050604,1.2396169981797975,358,358,99.16897506925208,358,361,99.16897506925208,358,361
Hugh L. Carey Tunnel,2025,55642.14444444444,52275.23055555556,-6.051013889751422,18,75,68,75,68,"1,2,3,4,5,6,7,8,10,11,12","Sat,Sun",0.21428571428571427,-9.119767699002415,-3.355132332075597,95% seven-day cluster exponential-weight bootstrap; 200 draws,limited shared strata; selected-day comparison,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",-3366.9138888888847,eligible selected complete days; >=3 days per shared month-weekday,"insufficient weekday/full-period coverage; selected complete days only; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,-6.281307613454102,-9.004785630368247,-3.506237467957829,"1,2,3,4,5,6,7,8",-7.750276080219576,-11.36404468902993,-4.386962980386818,"1,2,3,4,5",-6.281307613454102,-7.750276080219576,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,28,Hugh L. Carey Tunnel,40.69369235510336,-74.01299889939118,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,154311;154308;143216;143217;191234;190603;154027,HUGH L CAREY TUNNEL,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",tunnel,Hugh L. Carey Tunnel,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,decrease; interval excludes zero,True,-0.2652400129383281,-2.8199539099499056,2.6968810367317033,257,258,-0.7438078409550575,-1.544109748298304,0.4504645342984232,257,258,-6.051013889751422,-8.232937019578383,-3.303786682613724,75,68,29.6398891966759,107,361,26.869806094182824,97,361
Marine Parkway Bridge,2025,21860.49583333333,22214.051785714288,1.6173281478906176,84,357,359,357,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.18620060829096902,3.430485983758966,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",353.555952380957,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,2.78817059871983,0.8881150272495704,4.864621579481284,"1,2,3,4,5,6,7,8",0.07205378213079872,-2.2420324909435916,2.6753059102772165,"1,2,3,4,5,6,7,8",2.78817059871983,0.07205378213079872,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,25,Marine Parkway Bridge,40.571199099601166,-73.88359782132592,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,135469;135470;235376;235382,MARINE PY-GIL HODGES MEMORIAL BR,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Marine Parkway Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,increase; interval excludes zero,True,2.0328362402559863,-0.5687712821889354,5.057867475958775,257,258,1.0273853181436365,-1.298907432780944,3.3432899591248693,257,258,1.621060502964422,0.1335180893372218,3.549167637582464,357,359,98.89196675900277,357,361,99.44598337950139,359,361
Queens Midtown Tunnel,2025,83208.06051587302,82285.15218253968,-1.1091573672207922,84,355,352,355,352,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-2.3861718093668363,0.5203340522478958,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",-922.9083333333401,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,-1.6690789561981,-2.955503152836304,-0.378970963451817,"1,2,3,4,5,6,7,8",-4.733626785123657,-6.507812692118631,-3.205548405961791,"1,2,3,4,5,6,7,8",-1.6690789561981,-4.733626785123657,inconclusive,strengthened,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,27,Queens Midtown Tunnel,40.743878193996494,-73.96273120218416,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,322378;322379;322385;133681;133682,QUEENS MIDTOWN TUNNEL,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",tunnel,Queens Midtown Tunnel,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,-0.695976218388461,-3.1499166030538843,1.5340696590437775,257,258,-1.7868709226434576,-3.337634103312613,-0.34528132916631055,257,258,-1.0464701179825786,-2.655771409160726,0.45948924933476093,355,352,98.33795013850416,355,361,97.50692520775624,352,361
Robert F. Kennedy Bridge Bronx,2025,143541.07519841273,144033.8503968254,0.34329908545795984,84,358,358,358,358,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-0.5043021065020206,1.0639201358984554,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",492.77519841268077,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. MTA Facility 21 combines Bronx AND Queens plazas (TBX); cannot isolate Bronx-only traffic. Excludes Manhattan branch.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,0.9671051271354258,0.03704530879944771,1.865955687039316,"1,2,3,4,5,6,7,8",-0.977022655583315,-2.6662430595864492,0.4362991345677764,"1,2,3,4,5,6,7,8",0.9671051271354258,-0.977022655583315,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,21,Bronx and Queens plazas (TBX),40.799350223676164,-73.91857599678922,EPSG:4326,verified_named_facility_corridor,combined_Bronx_Queens_reporting_unit,False,True,facility_reference_corridor_not_segment_traffic,141123;245748;141118;140260;190699;141120;141122;155146;141475;141473;155071,ROBERT F KENNEDY BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. MTA Facility 21 combines Bronx AND Queens plazas (TBX); cannot isolate Bronx-only traffic. Excludes Manhattan branch.",bridge,Bronx and Queens plazas (TBX),standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,0.4016264922275248,-1.576622911756853,2.3988911155352763,256,257,-0.39868399430488255,-1.1321190658066473,0.37828925525931995,257,258,0.43173867324575177,-0.39596198199161575,1.2866625556330853,358,359,99.16897506925208,358,361,99.16897506925208,358,361
Robert F. Kennedy Bridge Manhattan,2025,46769.78869047619,47730.90615079364,2.054996371008122,84,359,359,359,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,1.093335474851369,3.2101393495013424,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",961.1174603174513,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. Manhattan branch (TBM), separately retained; only supplied traffic directions apply.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,2.5355901135601044,1.600835031277173,3.5749200489117294,"1,2,3,4,5,6,7,8",0.007574415156175185,-1.6301436186632832,1.4729275845075986,"1,2,3,4,5,6,7,8",2.5355901135601044,0.007574415156175185,weakened,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,22,Manhattan plaza (TBM),40.800441570109236,-73.92793766210967,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,133949;133948;155086,ROBERT F KENNEDY BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. Manhattan branch (TBM), separately retained; only supplied traffic directions apply.",bridge,Manhattan plaza (TBM),standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,increase; interval excludes zero,True,2.3744954111785344,0.2474539876107091,4.811252225877223,257,258,1.7899472330962896,0.576351135427623,2.8584082315370636,257,258,2.057509344065256,1.0675947898591398,3.117697408627134,359,359,99.44598337950139,359,361,99.44598337950139,359,361
Throgs Neck Bridge,2025,123411.44384920635,123910.11884920637,0.40407516875771154,84,359,359,359,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-0.18989098360547546,1.1389581228307732,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",498.67500000001746,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,1.3004938723246928,0.4538213496619953,2.2683203023299376,"1,2,3,4,5,6,7,8",0.13517846515298526,-1.2631622186169158,1.5846200463044025,"1,2,3,4,5,6,7,8",1.3004938723246928,0.13517846515298526,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,29,Throgs Neck Bridge,40.802252583288286,-73.79372135548304,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,140863;140861;306318;306327;153788;153812,THROGS NECK BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Throgs Neck Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,-0.8920629153791437,-2.930774831210647,1.2394638707128809,257,258,2.3291575905874273,1.3682239097171167,3.43512235199248,257,258,0.2850341759273345,-0.6498696946578381,1.077858949755371,359,359,99.44598337950139,359,361,99.44598337950139,359,361
Verrazzano - Narrows Bridge,2025,221522.80615079362,222560.60138888887,0.4684823455102016,84,359,359,359,359,"1,2,3,4,5,6,7,8,9,10,11,12","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-0.16592349227762676,1.2383099375292037,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Dec 31, excluding Feb 29; matched months/weekday",1037.7952380952484,eligible selected complete days; >=3 days per shared month-weekday,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025,2024,Jan 5–Dec 31,February 29 excluded; actual eligible months reported separately,0.999976084551224,0.17573045764778306,1.688140067656008,"1,2,3,4,5,6,7,8",-0.6925619179574904,-2.2630169903935986,1.0390786196846198,"1,2,3,4,5,6,7,8",0.999976084551224,-0.6925619179574904,inconclusive,inconclusive,directional descriptive comparison; both intervals must exclude zero; 10% relative magnitude tolerance; not a test of between-frame difference; persistence requires same months,30,Verrazzano - Narrows Bridge,40.6085471524605,-74.03829960853285,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,161014;306832;306830;306822;306820;152732;152781;152824;152845;142217,VERRAZZANO BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",bridge,Verrazzano - Narrows Bridge,standardized vehicles per complete supplied-direction day,MTA; equal month/weekday weights; 200 seven-day multiplier draws,uncertain; interval includes zero,True,1.838273126093104,0.2719240419030761,3.4015007504723185,257,258,0.2861895888562449,-0.40343895075557856,0.988801666264831,257,258,0.2828095472702685,-0.45357175100193603,0.89399389082759,359,359,99.44598337950139,359,361,99.44598337950139,359,361
