Facility,comparison_year,pre_mean,post_mean,change_pct,matched_strata,pre_observations,post_observations,pre_days,post_days,months,matched_weekdays,matched_strata_fraction,ci_low_pct,ci_high_pct,interval_method,coverage_status,comparison_window,Facility ID,causal_status,analysis_frame,baseline_year,requested_window,calendar_rule,source_reporting_unit,latitude,longitude,crs,verification_status,geometry_ambiguity,exact_toll_plaza_verified,map_ready,geometry_role,source_lions_ids,source_street,geometry_source,facility_definition_source,notes,geometry_status
Bronx - Whitestone Bridge,2025,135983.78720238095,139108.59285714285,2.2979251564095193,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,1.5601113180297166,3.1741188039206283,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",23,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Bronx - Whitestone Bridge,40.80196600282681,-73.829615778368,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,141293;154788;306296;306302,WHITESTONE BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Cross Bay Bridge,2025,21561.656547619048,22148.18273809524,2.72022786923094,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.9699402038412364,4.487784329739734,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",26,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Cross Bay Bridge,40.5930570671757,-73.82021128323598,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,150386;150824,CROSS BAY VETERANS MEMORIAL BRDG,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Henry Hudson Bridge,2025,68061.61398809524,68543.67053571428,0.7082649372719185,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-0.989617978215446,2.1367550229198904,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",24,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Henry Hudson Bridge,40.87662983260632,-73.92399049745238,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,143394;143660;140427;140426,HENRY HUDSON BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Hugh L. Carey Tunnel,2025,54923.97857142857,51474.034523809525,-6.281307613454102,14,58,54,58,54,"1,2,3,4,5,6,7,8","Sat,Sun",0.25,-9.004785630368247,-3.506237467957829,95% seven-day cluster exponential-weight bootstrap; 200 draws,limited shared strata; selected-day comparison,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",28,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Hugh L. Carey Tunnel,40.69369235510336,-74.01299889939118,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,154311;154308;143216;143217;191234;190603;154027,HUGH L CAREY TUNNEL,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Marine Parkway Bridge,2025,22189.52619047619,22808.208035714284,2.78817059871983,56,237,238,237,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.8881150272495704,4.864621579481284,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",25,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Marine Parkway Bridge,40.571199099601166,-73.88359782132592,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,135469;135470;235376;235382,MARINE PY-GIL HODGES MEMORIAL BR,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Queens Midtown Tunnel,2025,82736.67767857143,81355.73720238094,-1.6690789561981,56,234,231,234,231,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,-2.955503152836304,-0.378970963451817,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",27,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Queens Midtown Tunnel,40.743878193996494,-73.96273120218416,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,322378;322379;322385;133681;133682,QUEENS MIDTOWN TUNNEL,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Robert F. Kennedy Bridge Bronx,2025,142796.7142857143,144177.70863095237,0.9671051271354258,56,238,237,238,237,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.0370453087994477,1.865955687039316,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",21,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Bronx and Queens plazas (TBX),40.799350223676164,-73.91857599678922,EPSG:4326,verified_named_facility_corridor,combined_Bronx_Queens_reporting_unit,False,True,facility_reference_corridor_not_segment_traffic,141123;245748;141118;140260;190699;141120;141122;155146;141475;141473;155071,ROBERT F KENNEDY BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. MTA Facility 21 combines Bronx AND Queens plazas (TBX); cannot isolate Bronx-only traffic. Excludes Manhattan branch.",verified_named_facility_corridor
Robert F. Kennedy Bridge Manhattan,2025,46707.20505952381,47891.50833333334,2.5355901135601044,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,1.600835031277173,3.5749200489117294,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",22,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Manhattan plaza (TBM),40.800441570109236,-73.92793766210967,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,133949;133948;155086,ROBERT F KENNEDY BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. Manhattan branch (TBM), separately retained; only supplied traffic directions apply.",verified_named_facility_corridor
Throgs Neck Bridge,2025,122412.46964285712,124004.4363095238,1.3004938723246928,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.4538213496619953,2.2683203023299376,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",29,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Throgs Neck Bridge,40.802252583288286,-73.79372135548304,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,140863;140861;306318;306327;153788;153812,THROGS NECK BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
Verrazzano - Narrows Bridge,2025,220294.94107142856,222497.83779761908,0.999976084551224,56,238,238,238,238,"1,2,3,4,5,6,7,8","Mon,Tue,Wed,Thu,Fri,Sat,Sun",1.0,0.175730457647783,1.688140067656008,95% seven-day cluster exponential-weight bootstrap; 200 draws,at least 75% of month-weekday strata,"Jan 5–Aug 31, excluding Feb 29; matched months/weekday",30,association; no tracked vehicle rerouting,jan_aug_2024_2025_2026,2024,Jan 5–Aug 31,February 29 excluded; actual eligible months reported separately,Verrazzano - Narrows Bridge,40.6085471524605,-74.03829960853285,EPSG:4326,verified_named_facility_corridor,none_at_facility_corridor_level,False,True,facility_reference_corridor_not_segment_traffic,161014;306832;306830;306822;306820;152732;152781;152824;152845;142217,VERRAZZANO BRIDGE,https://services.arcgis.com/wmZOI9vyUBq1zTZx/ArcGIS/rest/services/LionS/FeatureServer/0,https://data.ny.gov/api/views/qzve-kjga/files/d954cfd1-57e0-4882-a4b0-f4cdd72c958c?download=true,"Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",verified_named_facility_corridor
