uhf_code,name,child_asthma_ed_rate_2023,adult_asthma_ed_rate_2023,poverty_pct_2019_23
101,Kingsbridge - Riverdale,134.3,47.6,16.53
102,Northeast Bronx,180.2,112.8,16.66
103,Fordham - Bronx Pk,254.9,132.3,27.66
104,Pelham - Throgs Neck,199.5,100.0,21.45
105,Crotona - Tremont,258.9,171.0,33.91
106,High Bridge - Morrisania,287.9,179.0,35.26
107,Hunts Point - Mott Haven,266.2,193.5,35.79
201,Greenpoint,48.9,38.5,16.7
202,Downtown - Heights - Slope,114.0,45.8,12.51
203,Bedford Stuyvesant - Crown Heights,259.1,116.5,22.6
204,East New York,215.1,123.3,23.43
205,Sunset Park,87.4,36.2,21.97
206,Borough Park,29.2,20.7,21.52
207,East Flatbush - Flatbush,174.1,89.4,14.44
208,Canarsie - Flatlands,147.9,71.5,12.66
209,Bensonhurst - Bay Ridge,38.5,17.9,15.04
210,Coney Island - Sheepshead Bay,74.0,34.5,19.31
211,Williamsburg - Bushwick,159.4,92.1,26.16
301,Washington Heights,153.7,52.6,18.66
302,Central Harlem - Morningside Heights,345.8,157.9,25.22
303,East Harlem,355.8,176.2,32.86
304,Upper West Side,90.8,27.0,11.51
305,Upper East Side,23.9,14.5,7.33
306,Chelsea - Clinton,129.9,33.0,11.95
307,Gramercy Park - Murray Hill,99.9,19.5,8.87
308,Greenwich Village - SoHo,47.9,7.7,8.89
309,Union Square - Lower East Side,159.7,44.6,20.06
310,Lower Manhattan,109.5,22.5,9.74
401,Long Island City - Astoria,91.3,39.1,11.36
402,West Queens,112.7,30.4,13.9
403,Flushing - Clearview,72.9,19.2,14.94
404,Bayside - Little Neck,32.5,19.2,7.64
405,Ridgewood - Forest Hills,51.2,25.9,10.35
406,Fresh Meadows,76.3,23.9,11.53
407,Southwest Queens,87.7,40.3,10.62
408,Jamaica,139.3,55.8,12.7
409,Southeast Queens,97.1,39.0,6.78
410,Rockaways,132.8,92.3,19.66
501,Port Richmond,101.8,84.5,17.08
502,Stapleton - St. George,93.7,66.9,14.72
503,Willowbrook,29.2,26.1,10.1
504,South Beach - Tottenville,23.2,20.1,6.68
